21    1,0011 12611297129722    3,001100000000000000000000000                                1    1,00    1,00
21    1,0021 21322020182075    1,001054123112222222221221211    2,00    4,00    5,00        1    1,00    2,00
11    1,0010 21352016141759    1,000154123222222222222222222                                0    1,00    1,00
21    1,0092 20262020209748    1,001045132122222222212222222    2,00    2,00                0    1,00        
22    1,0021 40251298989742    3,001100000000000000000000000                                0    1,00    2,00
12    1,0020 755910 8 697 0        0252431122122222222222222                                0     ,00    2,00
12    1,0011 734610 89897 0        8052143222222222222222222    7,00    3,00                0     ,00    1,00
22    1,0020 749916 5 69760    2,000853412222222222222222222                                1    1,00    2,00
22    1,0022 735710 6 597 0        8045132122222221222222222    7,00                        1     ,00    2,00
21    1,0021 126414 8122038    6,001100000000000000000000000                                1    1,00    2,00
11    1,0021 6072 912989736    6,001100000000000000000000000                                0     ,00    2,00
21    1,0010 256712 8 81328    6,000145213122222222222222222                                1    1,00    1,00
11    1,0020 10331511121465    1,000154213122222222222222222                                0    1,00    2,00
13    1,0022 21231412129749    2,001200000000000000000000000                                0    1,00    2,00
21    1,0022 71331212129750    2,001035142121222221222122222    2,00                        1    1,00    2,00
21    1,0012 625912 89812 0        1100000000000000000000000                                1    1,00    1,00
11    1,0020 416014 6 69732    2,000145123222222222222222222                                0    1,00    2,00
11    1,0012 6277 9 0 0 836    6,002200000000000000000000000                                0     ,00    1,00
22    1,00201225214 812 851    2,000145123222222222222222222                                1    1,00    2,00
12    1,0013 5155 798981642    3,001015432222222222222222222    5,00                        0     ,00    1,00
22    1,0012 21371412129742    3,001100000000000000000000000                                1    1,00    1,00
23    1,0020 7045 9 89997 0        0814235222222222222222222                                0     ,00    2,00
22    1,0032 40341298989842    3,008024153122222222222222222    5,00                        0    1,00    2,00
22    1,0031 7335 99898 9 0        8200000000000000000000000                                1     ,00    2,00
22    1,0022 613513 89897 0        2054231222222221222222222    7,00                        1    1,00    2,00
12    1,0031 70471297 99741    2,001100000000000000000000000                                0    1,00    2,00
22    1,0030 43241199999755    1,000245123222222221222222222                                1    1,00    2,00
22    1,0022 50281212141142    3,001015342222222222222222222    2,00    5,00                0    1,00    2,00
11    1,0010 12571916121275    1,000153214122222222222222222                                0    1,00    1,00
13    1,0011 12441815121265    1,002053241222222222222222222                                0    1,00    1,00
21    1,0020 71751498 89766    1,000115324222222221222222222                                1    1,00    2,00
21    1,0020 03581612989760    1,000145123222222222222222222                                1    1,00    2,00
11    1,0020 214913 8 81236    5,000115234222221122999991222                                0    1,00    2,00
11    1,0010 20221412999749    2,000154123222222222222222222                                0    1,00    1,00
21    1,0012 03441718122052    1,001054123212222221222222222    1,00    2,00                1    1,00    1,00
11    1,0020 12481915991675    1,000154123112222122222222222                                0    1,00    2,00
21    1,0032 42231212981241    2,001045123222221122212222222    2,00    2,00                1    1,00    2,00
11    1,0011 10561597989751    1,002045312222222222222222222                                0    1,00    1,00
21    1,0020 502513 8989739    5,000145231122222222222222222                                0    1,00    2,00
21    3,0022 20781299999745    5,002015234122222222122222222    4,00    7,00                0    1,00    2,00
21    3,0021 33371513141246    2,001100000000000000000000000                                1    1,00    2,00
11    3,00101046012 8981236    5,000135412222222222222222222                                0    1,00    1,00
21    3,0012 10301616169746    2,001100000000000000000000000                                0    1,00    1,00
11    3,0020 10211397149750    1,000135412222222222222222222                                0    1,00    2,00
21    3,0011 036513999997 0        2054123222222222222222222                                1    1,00    1,00
13    3,0022 286411 6 61230    5,001100000000000000000000000                                0    1,00    2,00
11    3,0020 60311814111664    1,000154132122222222222222222                                0    1,00    2,00
21    3,0022 236412 8 81340    2,002042135222222222222222222    7,00                        1    1,00    2,00
11    3,0011 12391812131660    1,001100000000000000000000000                                0    1,00    1,00
21    3,0023 10291616129746    2,001045123222222222122222222    2,00                        0    1,00    2,00
21    3,0032 525718161897 0        8100000000000000000000000                                1    1,00    2,00
11    3,0020 10351412981244    2,000154123122222222999999999                                0    1,00    2,00
12    3,0031 80221512169729    2,001043512122212221122122222    2,00                        0    1,00    2,00
11    3,0011 30351612129751    1,001100000000000000000000000                                0    1,00    1,00
11    3,0021 40432016189764    1,001045132222222222222222222    7,00                        0    1,00    2,00
21    3,0011 32351212139748    1,001054132222222122222222222                                1    1,00    1,00
21    3,0021 23701212 89720    3,002100000000000000000000000                                1    1,00    2,00
11    3,0032 32491312 81239    5,001015432122222122222222222    2,00                        0    1,00    2,00
23    3,0022 212111971697 0        1100000000000000000000000                                1    1,00    2,00
21    3,0010122341212121245    2,000145132122222222222222222                                1    1,00    1,00
13    3,0031 41341212 71236    6,001025341122211122111112222    4,00    5,00    2,00        0    1,00    2,00
11    3,0032 20331312129732    6,001100000000000000000000000                                0    1,00    2,00
21    3,0020 61311612991648    1,000845123122222222222222222                                1    1,00    2,00
21    3,00311025012 7129744    2,001100000000000000000000000                                1    1,00    2,00
21    3,0038 334812 6121239    5,001045123122222222222221222    2,00                        1    1,00    2,00
21    3,0030 834611 699 429    6,000241352122222222222222222                                1    1,00    2,00
21    3,0032 533612 6 61331    6,001045132122212222222222222    4,00    4,00                1    1,00    2,00
23    3,0032 45341114 9 6 0        1100000000000000000000000                                1    1,00    2,00
21    3,0021 4522139916 936    3,002015234122221222222222121    2,00    2,00                1    1,00    2,00
22    3,0030 54711198999736    6,000213452122221221999999999                                1    1,00    2,00
22    3,0010 983712111397 0        0125413222222221222222222                                1    1,00    1,00
22    3,0021 8367 998989731    3,001025341222222222999999999                                1     ,00    2,00
12    3,0011 22611298 91026    6,002100000000000000000000000                                0    1,00    1,00
22    3,0020 03501497149740    2,000115423122222222222222222                                1    1,00    2,00
13    3,003210549 497 3 630    6,002045321222221222222222222    2,00    2,00                0     ,00    2,00
21    3,0030 13651597129765    1,000215324222112221222222222                                1    1,00    2,00
